distrito_nombre,agrupacion_nombre,lista_numero,votos_cantidad
Entre Ríos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,1343
Entre Ríos,MOVIMIENTO LIBRES DEL SUR,3019,1456
Entre Ríos,POLITICA OBRERA,3020,1477
Entre Ríos,PRINCIPIOS Y VALORES,3011,4767
Entre Ríos,PRINCIPIOS Y VALORES,3012,48
Entre Ríos,PRINCIPIOS Y VALORES,3013,39
Entre Ríos,PRINCIPIOS Y VALORES,3014,15
Entre Ríos,PRINCIPIOS Y VALORES,3015,32
Entre Ríos,PROYECTO JOVEN,3022,64
Entre Ríos,PROYECTO JOVEN,3023,17
Entre Ríos,PROYECTO JOVEN,3024,10
Entre Ríos,UNION DEL CENTRO DEMOCRATICO,3018,52
Entre Ríos,UNION POR LA PATRIA,3005,180436
Entre Ríos,UNION POR LA PATRIA,3006,52134
Formosa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,1287
Formosa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,829
Formosa,FRENTE LIBER.AR,3002,45
Formosa,FRENTE LIBER.AR,3003,24
Formosa,FRENTE LIBER.AR,3004,119
Formosa,FRENTE PATRIOTA FEDERAL,3021,470
Formosa,HACEMOS POR NUESTRO PAIS,3001,3208
Formosa,JUNTOS POR EL CAMBIO,3007,22089
Formosa,JUNTOS POR EL CAMBIO,3008,46650
Formosa,LA LIBERTAD AVANZA,3016,80753
Formosa,MOVIMIENTO AL SOCIALISMO,3017,775
Formosa,MOVIMIENTO DE ACCION VECINAL,3025,533
Formosa,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,331
Formosa,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,329
Formosa,MOVIMIENTO LIBRES DEL SUR,3019,1724
Formosa,POLITICA OBRERA,3020,710
Formosa,PRINCIPIOS Y VALORES,3011,4
Formosa,PRINCIPIOS Y VALORES,3012,1
Formosa,PRINCIPIOS Y VALORES,3013,39
Formosa,PRINCIPIOS Y VALORES,3014,31
Formosa,PRINCIPIOS Y VALORES,3015,19
Formosa,PROYECTO JOVEN,3022,38
Formosa,PROYECTO JOVEN,3023,39
Formosa,PROYECTO JOVEN,3024,20
Formosa,UNION DEL CENTRO DEMOCRATICO,3018,31
Formosa,UNION POR LA PATRIA,3005,142965
Formosa,UNION POR LA PATRIA,3006,4627
Jujuy,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,22186
Jujuy,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,6796
Jujuy,FRENTE LIBER.AR,3002,115
Jujuy,FRENTE LIBER.AR,3003,17
Jujuy,FRENTE LIBER.AR,3004,281
Jujuy,FRENTE PATRIOTA FEDERAL,3021,905
Jujuy,HACEMOS POR NUESTRO PAIS,3001,7215
Jujuy,JUNTOS POR EL CAMBIO,3007,76378
Jujuy,JUNTOS POR EL CAMBIO,3008,24030
Jujuy,LA LIBERTAD AVANZA,3016,168142
Jujuy,MOVIMIENTO AL SOCIALISMO,3017,1124
Jujuy,MOVIMIENTO DE ACCION VECINAL,3025,839
Jujuy,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,713
Jujuy,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,814
Jujuy,MOVIMIENTO LIBRES DEL SUR,3019,1598
Jujuy,POLITICA OBRERA,3020,1423
Jujuy,PRINCIPIOS Y VALORES,3011,2819
Jujuy,PRINCIPIOS Y VALORES,3012,9
Jujuy,PRINCIPIOS Y VALORES,3013,6
Jujuy,PRINCIPIOS Y VALORES,3014,4
Jujuy,PRINCIPIOS Y VALORES,3015,21
Jujuy,PROYECTO JOVEN,3022,13
Jujuy,PROYECTO JOVEN,3023,6
Jujuy,PROYECTO JOVEN,3024,2
Jujuy,UNION DEL CENTRO DEMOCRATICO,3018,5
Jujuy,UNION POR LA PATRIA,3005,71980
Jujuy,UNION POR LA PATRIA,3006,15334
La Pampa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,2556
La Pampa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,1139
La Pampa,FRENTE LIBER.AR,3002,162
La Pampa,FRENTE LIBER.AR,3003,1
La Pampa,FRENTE LIBER.AR,3004,7
La Pampa,FRENTE PATRIOTA FEDERAL,3021,578
La Pampa,HACEMOS POR NUESTRO PAIS,3001,7504
La Pampa,JUNTOS POR EL CAMBIO,3007,24899
La Pampa,JUNTOS POR EL CAMBIO,3008,32488
La Pampa,LA LIBERTAD AVANZA,3016,66280
La Pampa,MOVIMIENTO AL SOCIALISMO,3017,1133
La Pampa,MOVIMIENTO DE ACCION VECINAL,3025,447
La Pampa,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,106
La Pampa,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,643
La Pampa,MOVIMIENTO LIBRES DEL SUR,3019,1000
La Pampa,POLITICA OBRERA,3020,756
La Pampa,PRINCIPIOS Y VALORES,3011,1408
La Pampa,PRINCIPIOS Y VALORES,3012,15
La Pampa,PRINCIPIOS Y VALORES,3013,0
La Pampa,PRINCIPIOS Y VALORES,3014,8
La Pampa,PRINCIPIOS Y VALORES,3015,0
La Pampa,PROYECTO JOVEN,3022,4
La Pampa,PROYECTO JOVEN,3023,0
La Pampa,PROYECTO JOVEN,3024,0
La Pampa,UNION DEL CENTRO DEMOCRATICO,3018,23
La Pampa,UNION POR LA PATRIA,3005,45208
La Pampa,UNION POR LA PATRIA,3006,11726
La Rioja,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,1122
La Rioja,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,747
La Rioja,FRENTE LIBER.AR,3002,15
La Rioja,FRENTE LIBER.AR,3003,0
La Rioja,FRENTE LIBER.AR,3004,54
La Rioja,FRENTE PATRIOTA FEDERAL,3021,432
La Rioja,HACEMOS POR NUESTRO PAIS,3001,13371
La Rioja,JUNTOS POR EL CAMBIO,3007,20483
La Rioja,JUNTOS POR EL CAMBIO,3008,18176
La Rioja,LA LIBERTAD AVANZA,3016,69607
La Rioja,MOVIMIENTO AL SOCIALISMO,3017,564
La Rioja,MOVIMIENTO DE ACCION VECINAL,3025,336
La Rioja,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,28
La Rioja,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,335
La Rioja,MOVIMIENTO LIBRES DEL SUR,3019,723
La Rioja,POLITICA OBRERA,3020,426
La Rioja,PRINCIPIOS Y VALORES,3011,428
La Rioja,PRINCIPIOS Y VALORES,3012,0
La Rioja,PRINCIPIOS Y VALORES,3013,0
La Rioja,PRINCIPIOS Y VALORES,3014,0
La Rioja,PRINCIPIOS Y VALORES,3015,6
La Rioja,PROYECTO JOVEN,3022,6
La Rioja,PROYECTO JOVEN,3023,4
La Rioja,PROYECTO JOVEN,3024,0
La Rioja,UNION DEL CENTRO DEMOCRATICO,3018,484
La Rioja,UNION POR LA PATRIA,3005,53814
La Rioja,UNION POR LA PATRIA,3006,6346
Mendoza,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,24852
Mendoza,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,6600
Mendoza,FRENTE LIBER.AR,3002,42
Mendoza,FRENTE LIBER.AR,3003,1
Mendoza,FRENTE LIBER.AR,3004,17
Mendoza,FRENTE PATRIOTA FEDERAL,3021,2588
Mendoza,HACEMOS POR NUESTRO PAIS,3001,13858
Mendoza,JUNTOS POR EL CAMBIO,3007,64441
Mendoza,JUNTOS POR EL CAMBIO,3008,229636
Mendoza,LA LIBERTAD AVANZA,3016,466437
Mendoza,MOVIMIENTO AL SOCIALISMO,3017,3986
Mendoza,MOVIMIENTO DE ACCION VECINAL,3025,3416
Mendoza,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,1532
Mendoza,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,2284
Mendoza,MOVIMIENTO LIBRES DEL SUR,3019,15566
Mendoza,POLITICA OBRERA,3020,3041
Mendoza,PRINCIPIOS Y VALORES,3011,7182
Mendoza,PRINCIPIOS Y VALORES,3012,43
Mendoza,PRINCIPIOS Y VALORES,3013,26
Mendoza,PRINCIPIOS Y VALORES,3014,22
Mendoza,PRINCIPIOS Y VALORES,3015,32
Mendoza,PROYECTO JOVEN,3022,41
Mendoza,PROYECTO JOVEN,3023,4
Mendoza,PROYECTO JOVEN,3024,0
Mendoza,UNION DEL CENTRO DEMOCRATICO,3018,101
Mendoza,UNION POR LA PATRIA,3005,140766
Mendoza,UNION POR LA PATRIA,3006,34756
Misiones,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,4964
Misiones,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,3710
Misiones,FRENTE LIBER.AR,3002,183
Misiones,FRENTE LIBER.AR,3003,135
Misiones,FRENTE LIBER.AR,3004,118
Misiones,FRENTE PATRIOTA FEDERAL,3021,3051
Misiones,HACEMOS POR NUESTRO PAIS,3001,8610
Misiones,JUNTOS POR EL CAMBIO,3007,40072
Misiones,JUNTOS POR EL CAMBIO,3008,82456
Misiones,LA LIBERTAD AVANZA,3016,277899
Misiones,MOVIMIENTO AL SOCIALISMO,3017,3704
Misiones,MOVIMIENTO DE ACCION VECINAL,3025,1947
Misiones,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,533
Misiones,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,1039
Misiones,MOVIMIENTO LIBRES DEL SUR,3019,4740
Misiones,POLITICA OBRERA,3020,3054
Misiones,PRINCIPIOS Y VALORES,3011,3938
Misiones,PRINCIPIOS Y VALORES,3012,30
Misiones,PRINCIPIOS Y VALORES,3013,14
Misiones,PRINCIPIOS Y VALORES,3014,25
Misiones,PRINCIPIOS Y VALORES,3015,36
Misiones,PROYECTO JOVEN,3022,62
Misiones,PROYECTO JOVEN,3023,26
Misiones,PROYECTO JOVEN,3024,19
Misiones,UNION DEL CENTRO DEMOCRATICO,3018,54
Misiones,UNION POR LA PATRIA,3005,157074
Misiones,UNION POR LA PATRIA,3006,18296
Neuquén,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,13715
Neuquén,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,5132
Neuquén,FRENTE PATRIOTA FEDERAL,3021,1851
Neuquén,HACEMOS POR NUESTRO PAIS,3001,7038
Neuquén,JUNTOS POR EL CAMBIO,3007,33444
Neuquén,JUNTOS POR EL CAMBIO,3008,57819
Neuquén,LA LIBERTAD AVANZA,3016,156147
Neuquén,MOVIMIENTO AL SOCIALISMO,3017,3053
Neuquén,MOVIMIENTO DE ACCION VECINAL,3025,1268
Neuquén,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,1612
Neuquén,MOVIMIENTO LIBRES DEL SUR,3019,13064
Neuquén,POLITICA OBRERA,3020,2024
Neuquén,PRINCIPIOS Y VALORES,3011,4232
Neuquén,UNION POR LA PATRIA,3005,57483
Neuquén,UNION POR LA PATRIA,3006,21541
Río Negro,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,9471
Río Negro,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,3759
Río Negro,FRENTE LIBER.AR,3002,24
Río Negro,FRENTE LIBER.AR,3003,15
Río Negro,FRENTE LIBER.AR,3004,47
Río Negro,FRENTE PATRIOTA FEDERAL,3021,27
Río Negro,HACEMOS POR NUESTRO PAIS,3001,8232
Río Negro,JUNTOS POR EL CAMBIO,3007,31520
Río Negro,JUNTOS POR EL CAMBIO,3008,52712
Río Negro,LA LIBERTAD AVANZA,3016,148437
Río Negro,MOVIMIENTO AL SOCIALISMO,3017,3128
Río Negro,MOVIMIENTO DE ACCION VECINAL,3025,1767
Río Negro,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,188
Río Negro,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,986
Río Negro,MOVIMIENTO LIBRES DEL SUR,3019,5013
Río Negro,POLITICA OBRERA,3020,2378
Río Negro,PRINCIPIOS Y VALORES,3011,3364
Río Negro,PRINCIPIOS Y VALORES,3012,32
Río Negro,PRINCIPIOS Y VALORES,3013,12
Río Negro,PRINCIPIOS Y VALORES,3014,13
Río Negro,PRINCIPIOS Y VALORES,3015,12
Río Negro,PROYECTO JOVEN,3022,34
Río Negro,PROYECTO JOVEN,3023,261
Río Negro,PROYECTO JOVEN,3024,10
Río Negro,UNION DEL CENTRO DEMOCRATICO,3018,21
Río Negro,UNION POR LA PATRIA,3005,72012
Río Negro,UNION POR LA PATRIA,3006,34246
Salta,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,5057
Salta,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,7278
Salta,FRENTE LIBER.AR,3002,40
Salta,FRENTE LIBER.AR,3003,9
Salta,FRENTE LIBER.AR,3004,19
Salta,FRENTE PATRIOTA FEDERAL,3021,1363
Salta,HACEMOS POR NUESTRO PAIS,3001,12820
Salta,JUNTOS POR EL CAMBIO,3007,44453
Salta,JUNTOS POR EL CAMBIO,3008,66556
Salta,LA LIBERTAD AVANZA,3016,318910
Salta,MOVIMIENTO AL SOCIALISMO,3017,1887
Salta,MOVIMIENTO DE ACCION VECINAL,3025,1282
Salta,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,1263
Salta,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,1277
Salta,MOVIMIENTO LIBRES DEL SUR,3019,8012
Salta,POLITICA OBRERA,3020,3884
Salta,PRINCIPIOS Y VALORES,3011,2142
Salta,PRINCIPIOS Y VALORES,3012,24
Salta,PRINCIPIOS Y VALORES,3013,5
Salta,PRINCIPIOS Y VALORES,3014,6
Salta,PRINCIPIOS Y VALORES,3015,17
Salta,PROYECTO JOVEN,3022,608
Salta,PROYECTO JOVEN,3023,27
Salta,PROYECTO JOVEN,3024,14
Salta,UNION DEL CENTRO DEMOCRATICO,3018,47
Salta,UNION POR LA PATRIA,3005,137998
Salta,UNION POR LA PATRIA,3006,17839
San Juan,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,3244
San Juan,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,2259
San Juan,FRENTE LIBER.AR,3002,7
San Juan,FRENTE LIBER.AR,3003,10
San Juan,FRENTE LIBER.AR,3004,128
San Juan,FRENTE PATRIOTA FEDERAL,3021,1187
San Juan,HACEMOS POR NUESTRO PAIS,3001,6896
San Juan,JUNTOS POR EL CAMBIO,3007,63523
San Juan,JUNTOS POR EL CAMBIO,3008,53926
San Juan,LA LIBERTAD AVANZA,3016,143858
San Juan,MOVIMIENTO AL SOCIALISMO,3017,1130
San Juan,MOVIMIENTO DE ACCION VECINAL,3025,961
San Juan,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,1028
San Juan,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,1434
