distrito_nombre,agrupacion_nombre,lista_numero,votos_cantidad,eleccion
Corrientes,FRENTE LIBER.AR,3002.0,34,PASO
Corrientes,FRENTE LIBER.AR,3003.0,7,PASO
Corrientes,FRENTE LIBER.AR,3004.0,41,PASO
Corrientes,FRENTE PATRIOTA FEDERAL,3021.0,969,PASO
Corrientes,HACEMOS POR NUESTRO PAIS,3001.0,8929,PASO
Corrientes,JUNTOS POR EL CAMBIO,3007.0,67140,PASO
Corrientes,JUNTOS POR EL CAMBIO,3008.0,145964,PASO
Corrientes,LA LIBERTAD AVANZA,3016.0,181456,PASO
Corrientes,MOVIMIENTO AL SOCIALISMO,3017.0,2686,PASO
Corrientes,MOVIMIENTO DE ACCION VECINAL,3025.0,1358,PASO
Corrientes,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,918,PASO
Corrientes,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,1169,PASO
Corrientes,MOVIMIENTO LIBRES DEL SUR,3019.0,3770,PASO
Corrientes,POLITICA OBRERA,3020.0,1449,PASO
Corrientes,PRINCIPIOS Y VALORES,3011.0,3189,PASO
Corrientes,PRINCIPIOS Y VALORES,3012.0,53,PASO
Corrientes,PRINCIPIOS Y VALORES,3013.0,17,PASO
Corrientes,PRINCIPIOS Y VALORES,3014.0,13,PASO
Corrientes,PRINCIPIOS Y VALORES,3015.0,14,PASO
Corrientes,PROYECTO JOVEN,3022.0,16,PASO
Corrientes,PROYECTO JOVEN,3023.0,56,PASO
Corrientes,PROYECTO JOVEN,3024.0,3,PASO
Corrientes,UNION DEL CENTRO DEMOCRATICO,3018.0,43,PASO
Corrientes,UNION POR LA PATRIA,3005.0,161865,PASO
Corrientes,UNION POR LA PATRIA,3006.0,20793,PASO
Córdoba,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,19752,PASO
Córdoba,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,11383,PASO
Córdoba,FRENTE LIBER.AR,3002.0,1512,PASO
Córdoba,FRENTE LIBER.AR,3004.0,1564,PASO
Córdoba,FRENTE PATRIOTA FEDERAL,3021.0,2867,PASO
Córdoba,HACEMOS POR NUESTRO PAIS,3001.0,564182,PASO
Córdoba,JUNTOS POR EL CAMBIO,3007.0,130771,PASO
Córdoba,JUNTOS POR EL CAMBIO,3008.0,384685,PASO
Córdoba,LA LIBERTAD AVANZA,3016.0,688684,PASO
Córdoba,MOVIMIENTO AL SOCIALISMO,3017.0,3893,PASO
Córdoba,MOVIMIENTO DE ACCION VECINAL,3025.0,2471,PASO
Córdoba,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,1009,PASO
Córdoba,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,2404,PASO
Córdoba,MOVIMIENTO LIBRES DEL SUR,3019.0,4565,PASO
Córdoba,POLITICA OBRERA,3020.0,2123,PASO
Córdoba,PRINCIPIOS Y VALORES,3011.0,10419,PASO
Córdoba,PRINCIPIOS Y VALORES,3012.0,1934,PASO
Córdoba,PRINCIPIOS Y VALORES,3015.0,1431,PASO
Córdoba,PROYECTO JOVEN,3022.0,2144,PASO
Córdoba,PROYECTO JOVEN,3023.0,731,PASO
Córdoba,PROYECTO JOVEN,3024.0,760,PASO
Córdoba,UNION DEL CENTRO DEMOCRATICO,3018.0,61,PASO
Córdoba,UNION POR LA PATRIA,3005.0,126219,PASO
Córdoba,UNION POR LA PATRIA,3006.0,51309,PASO
Entre Ríos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,5671,PASO
Entre Ríos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,4365,PASO
Entre Ríos,FRENTE LIBER.AR,3002.0,201,PASO
Entre Ríos,FRENTE LIBER.AR,3003.0,37,PASO
Entre Ríos,FRENTE LIBER.AR,3004.0,375,PASO
Entre Ríos,FRENTE PATRIOTA FEDERAL,3021.0,1643,PASO
Entre Ríos,HACEMOS POR NUESTRO PAIS,3001.0,9425,PASO
Entre Ríos,JUNTOS POR EL CAMBIO,3007.0,90440,PASO
Entre Ríos,JUNTOS POR EL CAMBIO,3008.0,166823,PASO
Entre Ríos,LA LIBERTAD AVANZA,3016.0,176164,PASO
Entre Ríos,MOVIMIENTO AL SOCIALISMO,3017.0,1885,PASO
Entre Ríos,MOVIMIENTO DE ACCION VECINAL,3025.0,1238,PASO
Entre Ríos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,912,PASO
Entre Ríos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,1343,PASO
Entre Ríos,MOVIMIENTO LIBRES DEL SUR,3019.0,1456,PASO
Entre Ríos,POLITICA OBRERA,3020.0,1477,PASO
Entre Ríos,PRINCIPIOS Y VALORES,3011.0,4767,PASO
Entre Ríos,PRINCIPIOS Y VALORES,3012.0,48,PASO
Entre Ríos,PRINCIPIOS Y VALORES,3013.0,39,PASO
Entre Ríos,PRINCIPIOS Y VALORES,3014.0,15,PASO
Entre Ríos,PRINCIPIOS Y VALORES,3015.0,32,PASO
Entre Ríos,PROYECTO JOVEN,3022.0,64,PASO
Entre Ríos,PROYECTO JOVEN,3023.0,17,PASO
Entre Ríos,PROYECTO JOVEN,3024.0,10,PASO
Entre Ríos,UNION DEL CENTRO DEMOCRATICO,3018.0,52,PASO
Entre Ríos,UNION POR LA PATRIA,3005.0,180436,PASO
Entre Ríos,UNION POR LA PATRIA,3006.0,52134,PASO
Formosa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,1287,PASO
Formosa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,829,PASO
Formosa,FRENTE LIBER.AR,3002.0,45,PASO
Formosa,FRENTE LIBER.AR,3003.0,24,PASO
Formosa,FRENTE LIBER.AR,3004.0,119,PASO
Formosa,FRENTE PATRIOTA FEDERAL,3021.0,470,PASO
Formosa,HACEMOS POR NUESTRO PAIS,3001.0,3208,PASO
Formosa,JUNTOS POR EL CAMBIO,3007.0,22089,PASO
Formosa,JUNTOS POR EL CAMBIO,3008.0,46650,PASO
Formosa,LA LIBERTAD AVANZA,3016.0,80753,PASO
Formosa,MOVIMIENTO AL SOCIALISMO,3017.0,775,PASO
